session_idx,n_known,n_truth,prec@5_popularity,rec@5_popularity,prec@5_partial_cf,rec@5_partial_cf,prec@5_content_only,rec@5_content_only,prec@5_mixed,rec@5_mixed
921,2,7,0.0,0.0,0.4,0.2857142857142857,0.2,0.14285714285714285,0.0,0.0
768,2,8,0.2,0.125,0.6,0.375,0.2,0.125,0.2,0.125
291,2,8,0.2,0.125,0.0,0.0,0.2,0.125,0.2,0.125
125,2,8,0.2,0.125,0.0,0.0,0.0,0.0,0.2,0.125
414,2,10,0.4,0.2,0.2,0.1,0.0,0.0,0.0,0.0
392,2,6,0.4,0.3333333333333333,0.0,0.0,0.2,0.16666666666666666,0.2,0.16666666666666666
426,2,3,0.2,0.3333333333333333,0.0,0.0,0.4,0.6666666666666666,0.4,0.6666666666666666
1016,2,6,0.4,0.3333333333333333,0.2,0.16666666666666666,0.2,0.16666666666666666,0.2,0.16666666666666666
1074,2,5,0.0,0.0,0.4,0.4,0.0,0.0,0.0,0.0
479,2,6,0.0,0.0,0.0,0.0,0.2,0.16666666666666666,0.2,0.16666666666666666
424,2,8,0.2,0.125,0.2,0.125,0.2,0.125,0.2,0.125
325,2,12,0.2,0.08333333333333333,0.0,0.0,0.2,0.08333333333333333,0.0,0.0
285,2,7,0.0,0.0,0.2,0.14285714285714285,0.4,0.2857142857142857,0.2,0.14285714285714285
982,2,6,0.2,0.16666666666666666,0.2,0.16666666666666666,0.2,0.16666666666666666,0.2,0.16666666666666666
557,2,11,0.4,0.18181818181818182,0.0,0.0,0.4,0.18181818181818182,0.2,0.09090909090909091
977,2,9,0.2,0.1111111111111111,0.0,0.0,0.2,0.1111111111111111,0.2,0.1111111111111111
701,2,6,0.2,0.16666666666666666,0.2,0.16666666666666666,0.2,0.16666666666666666,0.2,0.16666666666666666
513,2,6,0.6,0.5,0.4,0.3333333333333333,0.2,0.16666666666666666,0.6,0.5
54,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
625,2,8,0.0,0.0,0.2,0.125,0.0,0.0,0.0,0.0
790,2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
